v,I,w
0.501,0.061,72
0.998,0.06,204
1.498,0.065,327
2,0.066,461
2.496,0.068,587
3.001,0.07,712
3.496,0.073,840
3.998,0.075,967
4.494,0.077,1102
5.005,0.079,1234
5.501,0.081,1366
5.995,0.082,1488
6.497,0.084,1624
6.994,0.086,1760
7.503,0.088,1891
7.995,0.089,2027
8.499,0.091,2158
9.004,0.092,2291
9.499,0.093,2423
9.998,0.095,2546
10.499,0.096,2687
10.992,0.098,2820
11.503,0.099,2956
12.023,0.099,3096
12.497,0.102,3218
13.009,0.103,3350
13.503,0.103,3487
14.002,0.105,3624
14.501,0.106,3756
15,0.107,3895
15.502,0.108,4028
15.992,0.109,4154
16.498,0.11,4293
17.011,0.111,4432
17.498,0.112,4563
17.999,0.113,4697
18.506,0.113,4836
19.004,0.115,4966
19.496,0.116,5102
20.013,0.117,5241
20.498,0.118,5374
20.987,0.119,5501
21.499,0.12,5643
22.007,0.121,5781
22.511,0.121,5919
23.003,0.121,6052
23.5,0.122,6191
23.996,0.122,6326
