v,bemf
4.996,4.247
5.496,4.725
6.005,5.248
6.496,5.688
7.006,6.181
7.504,6.681
7.999,7.174
8.498,7.654
9.002,8.151
9.502,8.683
9.961,9.114
10.497,9.646
10.993,10.12
11.506,10.647
11.985,11.109
12.513,11.614
13.012,12.128
13.495,12.588
14.007,13.084
14.505,13.573
15.063,14.109
15.536,14.622
15.991,15.092
16.518,15.607
17.02,16.091
17.505,16.514
18.028,17.07
18.512,17.536
19.048,18.07
19.522,18.499
20.01,18.963
20.517,19.459
21.05,19.974
21.519,20.455
22.029,20.97
22.522,21.441
23.013,21.919
23.512,22.424
24.008,22.929
