v,I,R
4.941,0.136,24.025
5.506,0.155,
5.986,0.162,
6.488,0.186,
7.015,0.202,
7.5,0.217,
7.992,0.232,
8.493,0.249,
9.005,0.265,
9.502,0.281,
10.007,0.299,
10.505,0.313,
11.024,0.329,
11.502,0.343,
12.01,0.36,
12.496,0.376,
13.007,0.392,
13.507,0.408,
14.022,0.423,
14.489,0.437,
14.985,0.452,
15.507,0.467,
16.025,0.484,
16.512,0.5,
17.008,0.514,
17.525,0.53,
17.992,0.543,
18.517,0.56,
18.99,0.575,
19.509,0.592,
19.996,0.607,
20.504,0.622,
21.02,0.639,
21.502,0.652,
22.05,0.67,
22.513,0.684,
23.023,0.699,
23.514,0.714,
24.002,0.731,
