V,I
0.09964,0.01055
0.205,0.02547
0.3028,0.03821
0.40096,0.05147
0.5018,0.06535
0.602,0.07866
0.6994,0.0975
0.8005,0.11411
0.903,0.20453
1.003,0.24339
1.1001,0.2717
1.2032,0.30057
1.3013,0.32814
1.3998,0.3516
1.4989,0.373
1.6008,0.40677
1.7013,0.42816
1.8023,0.46007
1.8992,0.48657
1.9998,0.5245
2.0983,0.5432
2.2027,0.57227
2.3017,0.59852
2.4035,0.6166
2.4992,0.64332
2.601,0.65559
2.7998,0.72365
2.8982,0.7284
3.0155,0.74724
3.101,0.81932
3.1998,0.81852
3.3017,0.83337
3.3986,0.84504
3.5006,0.91031
3.5998,0.93877
3.6978,0.9602
3.8024,1.0137
3.8993,1.03703
3.9984,1.05848
4.1002,1.07663
4.2002,1.088
4.299,1.118
4.3996,1.197
4.4998,1.236
4.603,1.242
4.703,1.247
4.8003,1.233
4.897,1.228
5.004,1.237
